vehicle_type_code1,collision_count
Parce,1
BS,2
Uhaul,1
CONTR,1
Flatb,2
NYC D,1
Subur,1
Work truck,1
Bucketload,1
VAN W,1
DEPT VAN #,1
USPCS,1
DELIVERY,4
STERL,1
PRIVA,1
Barri,1
Horse,2
JEEP,3
road,2
crane boom,1
Fd fi,1
TRAC.,1
197209,1
E-bike,3
YALE,1
AMBULANVE,1
OML/OMNIBU,1
TRANSPORTE,1
Street Cle,1
CABIN,1
Go kart,1
USPS #7530,1
E-UNICYCLE,1
MOVIN,3
Ford Van,2
COMM TRAIL,1
JOHN DEERE,1
DEPARTMENT,1
FDNY Firet,1
Utility tr,1
Fed Ex Tru,1
Gas dirt b,1
mta b,3
ELEC. UNIC,1
NYCHA,1
Collection,1
Trolley ri,1
Electric s,1
Backhoe,2
Mini Van,1
999,1
SLINGSHOT,1
PERM,1
SPECIAL CO,1
I1,2
toyot,2
CUSHM,1
E AMB,1
utility ve,2
VOLVO,1
COM TRANS,1
SCL,1
LIT DIRECT,1
COM T,1
ME/BE,1
Bread truc,1
FD LADDER,1
comm.,1
BROOM,1
3 Whe,1
CART,1
fdny truck,1
NOT I,2
US GO,1
SPR,1
KUBOT,1
HERTZ RAM,1
SELF-,1
pedic,1
COUPE,1
FLED,1
F550 ESU R,1
VAN (TRANS,1
Pick-,1
GMC ECOM,1
MAXIM,1
E-BIK,7
FUEL,2
FDNY EMS V,2
Pick Up,2
FR`,1
sprinter v,2
gas moped,1
Amb,4
nycta,1
POSTO,1
BTM,1
CATAPILLAR,1
MTA V,1
SS,3
TIR,1
EMS bus,1
HIGHL,1
MTA TRANSI,1
CAT,1
TRuck,1
15 Pa,1
MTA Bus,4
leu,1
TRACK EXCA,1
18 WH,1
frh,1
BOOM MOPED,1
Passanger,1
Budge,2
te,1
4whee,1
mack,2
ENGINE SP0,1
LTR,2
DOT VEHICL,1
Trl,1
2 wheel sc,1
HRSE,1
Mailtruck,1
Utility.,1
Grain,3
MOPPED,1
ELE MOTORC,1
DELV BR,1
AMUBULANCE,1
COMB,1
Track,1
FDNY CHIEF,1
Tank,1
dark color,1
Horse trai,1
f-250,1
LIABITIY,1
APORT,1
FREIGT VAN,1
Ford,6
utv,1
Shove,1
MINIVAN,1
