vehicle_type_code1,collision_count
TOW-TRUCK,1
TLC P,1
Electric M,1
nycta,1
POSTO,1
high,1
Ambulence,1
Dumps,1
Fedex,1
11111,1
UTILITY VA,1
frh,1
omnib,1
A-ONE,1
FedEx box,1
mta B,1
inter,1
BOBCAT FOR,1
4SEDN,1
PROGRESSIV,1
rz,1
e1,1
H3,1
L1,1
camper tra,1
SMYELLSCHO,1
LADDER CO,1
FRHT TRAIL,1
11-VA,1
TAILG,1
LMB,1
Station Wa,1
Isuzu,1
SCL,1
BoxTr,1
G1,1
Horse trai,1
f-250,1
7532433,1
APORT,1
E COM,1
horse,1
FREIGT VAN,1
TOWMA,1
Parce,1
Shove,1
ELECTRIC C,1
UHAL,1
CONTR,1
Skywatch,1
na,1
PEPSI DELI,1
winne,1
Semi,1
USPCS,1
Pickup tow,1
ONE WHEEL,1
GMC ECOM,1
TC,1
none,1
WHEEL,1
Schoolbus,1
TL TR,1
CAT P,1
G Sem,1
Lime Scoot,1
US MAIL #1,1
MOBILITY S,1
FDNY #226,1
MAC T,1
movin,1
Motor Scoo,1
Limousine,1
LSV,1
P PSD,1
Lift,1
ems bus,1
sanitaton,1
Mack Truck,1
Pas,1
CHERV,1
Ladder,1
BOOM MOPED,1
999,1
Fire engin,1
MAIL CARRI,1
FLAT  BED,1
SPECIAL CO,1
FREE,1
self insur,1
Grail,1
abulance,1
NYNJ RAIL,1
Utility.,1
Combinatio,1
SFI,1
amdu,1
MOTOR SKAT,1
City Bus,1
DELV BR,1
E3,1
Lawnmower,1
E MOTORCYC,1
E bik,1
comm.,1
TTRAILER,1
LMTV,1
street swe,1
Tlc,1
VERZION VA,1
CMIXER,1
work truck,1
Unkow,1
NYC FD,1
STERL,1
FDNY LADER,1
FD AMBULAN,1
Horse Trai,1
NO/BU,1
Mopd,1
flat,1
Dept Tow t,1
Mopped,1
Subr,1
TRANSPORTE,1
4,1
Street Cle,1
Mta,1
USPS2,1
MTA C,1
Mercedes,1
CHEV,1
ABULA,1
MTA U,1
SWEEPER TR,1
Utility tr,1
MOPAD,1
USPS #6530,1
Gas dirt b,1
HIGHL,1
g spc,1
REVEL,1
UNKWOWN,1
OLC,1
plow,1
e sco,1
18 WH,1
Nova,1
Thomas,1
east,1
ST150,1
4whee,1
Leased amb,1
D2,1
cart,1
Trl,1
kenwo,1
CRF Carria,1
HD,1
NIU,1
E-SKATEBOA,1
Ems t,1
MTA b,1
Car C,1
ELE MOTORC,1
push,1
CARRIER,1
FDNY mecha,1
fIRET,1
UPS truck,1
utv,1
SEDONA,1
Renta,1
SEA,1
UTLIT,1
FD TRUCK,1
NYC MTA BU,1
Pro master,1
Bucketload,1
FORD AMBUL,1
semi-,1
box van,1
MINI BUS,1
Mail truck,1
MAXIM,1
Fire Truvk,1
HWH,1
st,1
yy,1
3 doo,1
MO-PED,1
TLR,1
USPS/GOVT,1
mtr s,1
Cargo,1
marke,1
Stake,1
NYCHA,1
freight,1
EMS -BUS,1
ARMOR,1
DELVI,1
VAN E,1
FireTruck,1
Mo pa,1
Stand Up S,1
CAT.,1
power shov,1
dirtb,1
YELLOWPOWE,1
SELF-INSUR,1
C 1,1
chev,1
c3,1
2 wheel sc,1
FREIGHT,1
DOT R,1
Mailtruck,1
MAC,1
Snowmobile,1
MINI SCHOO,1
perm,1
yellow cab,1
GOVENMENT,1
RIV 2022,1
WINEB,1
utv bobcat,1
Ram,1
SPRINTER,1
CONVE,1
White Van,1
sterl,1
ATTECHMENT,1
FDNY Engin,1
MINIV,1
0,1
ROOD,1
2000,1
couri,1
YELLOW TAX,1
Stand up s,1
X Amb,1
pedicab,1
NT TR,1
moped scoo,1
Ford picku,1
AMBULANVE,1
OML/OMNIBU,1
ebike,1
U HAUL TRU,1
E-UNICYCLE,1
DIESE,1
PV HOLDING,1
ups t,1
DUMPTRUCK,1
BOAT,1
Mecha,1
2 DR,1
VA,1
EMS bus,1
Fed Ex Tru,1
2- to,1
CHEVR,1
MARK,1
Yamaha,1
renta,1
sanitaion,1
SCHOOLBUS,1
Front-Load,1
dilevery t,1
TRAILEE,1
E SCO,1
ford van,1
VAB,1
ECOM,1
E AMB,1
H1,1
Other,1
d3,1
LOADE,1
ambulette,1
EMS Bus,1
hrse,1
Veriz,1
COM TRANS,1
FOOD TRUCK,1
Movin,1
conta,1
MOTORHOME,1
.,1
semi-trail,1
tr/tr,1
Toyota,1
UNK BOX TR,1
E - B,1
e-350,1
dsny,1
26 ft,1
kick scoot,1
ESU RESCUE,1
COMER,1
SANTI,1
carri,1
Bicycle,1
HORSE CARR,1
tlc,1
DODGE,1
NonMotordS,1
HOUSE,1
TRUCK VAN,1
35 FT,1
TRAILER/FL,1
US Mail Tr,1
SURET,1
Pas (4dr s,1
MARKED VAN,1
FDNY INSUR,1
FDNY Firet,1
MO PE,1
omr,1
Comix,1
SC,1
12 PA,1
FRONT,1
Ford f150,1
Ford FF,1
TTAILER,1
Econoline,1
U-HAUL,1
NYPD Traff,1
conti,1
PSR,1
santa,1
50cc mini,1
Yamah,1
LIT DIRECT,1
TRACTOR CR,1
SUDN,1
COM T,1
Comm,1
TCM,1
SPEC,1
TRUCK FLAT,1
MARKED RMP,1
RAZOR150 M,1
CATIP,1
E Bike w p,1
white,1
CHART,1
del,1
cross,1
Fdny ems,1
POLIC,1
Barri,1
HD To,1
Van (Trans,1
ems b,1
TRUCK W/TR,1
Tram,1
com v,1
Ram Promas,1
Ford EC2,1
Postal Box,1
MTA transi,1
